,name,cycle,datetime,capacity,ambient_temp,voltage_measured,current_measured,temperature_measured,time,TIEDVD
0,B0005,1,4/2/2008 15:25,1.85648742,24,3.277169977,-0.006528351,34.23085284,3690.234,2363.438
1,B0005,2,4/2/2008 19:43,1.84632725,24,3.300244887,-0.000447553,34.39213659,3672.344,2384.922
2,B0005,3,4/3/2008 0:01,1.83534919,24,3.32745101,0.001026019,34.23277872,3651.641,2385.172
3,B0005,4,4/3/2008 4:16,1.83526253,24,3.314181859,-0.002233622,34.41344995,3631.563,2367.609
4,B0005,5,4/3/2008 8:33,1.83464551,24,3.305496731,9.24E-06,34.34588499,3629.172,2366.031
5,B0005,6,4/3/2008 12:55,1.83566166,24,3.302329113,-0.00396723,34.20092692,3652.281,2366.86
6,B0005,7,4/3/2008 17:17,1.83514614,24,3.29374067,-0.003424827,34.29828476,3650.828,2367.5
7,B0005,8,4/3/2008 21:28,1.82575679,24,3.316230741,0.001710239,34.76224184,3572.453,2369.594
8,B0005,9,4/4/2008 1:38,1.82477385,24,3.297410935,-0.001004052,35.05182953,3550.594,2348.781
9,B0005,10,4/4/2008 5:48,1.82461327,24,3.288404483,0.001261401,35.02973666,3551.25,2349.282
10,B0005,11,4/4/2008 9:57,1.82461955,24,3.266275575,0.000285052,35.32247969,3530.25,2349.843
11,B0005,12,4/4/2008 17:56,1.81420194,24,3.296199859,-0.000775731,35.59296016,3491.016,2331.375
12,B0005,13,4/4/2008 22:01,1.81375216,24,3.271757416,-0.000472438,35.96127245,3470.281,2331.359
13,B0005,14,4/5/2008 2:20,1.81344049,24,3.264855084,-0.002505993,35.8696097,3470,2331.14
14,B0005,15,4/5/2008 6:25,1.802598,24,3.309111202,-3.78E-05,35.53204381,3450.297,2312.234
15,B0005,16,4/5/2008 10:30,1.8021069,24,3.288149053,-0.001359333,35.81031289,3429.407,2310.719
16,B0005,17,4/5/2008 14:34,1.8025795,24,3.260754101,-0.000793555,36.24247715,3409.484,2292.109
17,B0005,18,4/5/2008 18:39,1.80306831,24,3.229466822,-0.004407894,36.70221725,3390.422,2292.765
18,B0005,19,4/5/2008 22:46,1.80277762,24,3.224378895,-0.001862126,36.77890978,3390.281,2292.578
19,B0005,20,4/18/2008 21:10,1.84702599,24,3.258740332,-3.54E-05,34.93481911,3591.734,2389.484
20,B0005,21,4/19/2008 2:29,1.84741731,24,3.218046215,0.000151942,36.06881903,3552.297,2390.234
21,B0005,22,4/19/2008 7:47,1.83617742,24,3.257309627,-0.002765735,35.57131957,3531.578,2370.953
22,B0005,23,4/19/2008 13:01,1.82578075,24,3.280256747,-0.000195349,35.49553079,3492.907,2371.187
23,B0005,24,4/19/2008 18:27,1.82511364,24,3.279765451,-0.001914706,35.20943494,3511.594,2350.563
24,B0005,25,4/19/2008 23:41,1.8255815,24,3.205068916,-0.000256915,36.50765859,3431.937,2351.531
25,B0005,26,4/20/2008 4:54,1.81403113,24,3.276866922,0.000664357,35.87513759,3431.125,2331.625
26,B0005,27,4/20/2008 10:16,1.81476919,24,3.231130028,-0.002598176,36.32486455,3412.406,2350.782
27,B0005,28,4/20/2008 15:37,1.81396939,24,3.222025773,-0.000146263,36.4068772,3410.688,2329.781
28,B0005,29,4/20/2008 20:50,1.80276567,24,3.290082794,-0.004012055,35.8741726,3410.718,2329.141
29,B0005,30,4/21/2008 2:15,1.80407704,24,3.251176185,-0.00145143,36.40595071,3392.719,2312.703
30,B0005,31,4/22/2008 15:33,1.85180255,24,3.249283482,-0.001499701,36.28230125,3470.672,2351.578
31,B0005,32,4/22/2008 20:26,1.83070385,24,3.260087599,-0.001228815,36.73981915,3414.109,2332.89
32,B0005,33,4/23/2008 1:18,1.81990411,24,3.281146601,0.001947239,36.49603036,3395.219,2322.984
33,B0005,34,4/23/2008 6:18,1.80930796,24,3.30937152,-0.001003526,36.04392364,3386,2294.937
34,B0005,35,4/23/2008 11:08,1.8046099,24,3.295594468,-0.00183497,36.22444539,3368.187,2277.171
35,B0005,36,4/23/2008 16:06,1.79937707,24,3.317198245,-0.000170868,36.48129579,3368.266,2276.844
36,B0005,37,4/23/2008 21:02,1.78844323,24,3.347818507,-0.000831225,35.98576133,3358.719,2257.687
37,B0005,38,4/24/2008 1:51,1.78292305,24,3.337821924,-0.00284374,36.10148289,3339.5,2248.172
38,B0005,39,4/24/2008 6:50,1.77303372,24,3.364372479,-0.004309732,35.8592178,3331.265,2230.016
39,B0005,40,4/24/2008 11:49,1.77303776,24,3.336014494,0.002106451,36.40939106,3321.188,2220.188
40,B0005,41,4/24/2008 16:45,1.76787211,24,3.355659628,0.001443794,36.77364626,3321.844,2220.203
41,B0005,42,4/24/2008 21:38,1.76231507,24,3.361490198,0.000905102,36.84756032,3311.828,2201.109
42,B0005,43,4/25/2008 12:03,1.76761729,24,3.346968122,-0.001459488,36.71091395,3327.391,2211.985
43,B0005,44,4/25/2008 20:03,1.76266836,24,3.371210049,-0.000750036,36.38019708,3312.078,2201.718
